tile_num,GeoTIFF,geometry,S2 Tile Name
2975,boreal_agb_202302061675670196_2975.tif,"POLYGON ((130.04102723000005 64.55251997100004, 131.30259738300003 63.961610488000076, 129.93320622600004 63.42791279000005, 128.66740751300006 64.00759120000004, 130.04102723000005 64.55251997100004))",52VER
2976,boreal_agb_202302061675666264_2976.tif,"POLYGON ((131.46833610200008 65.08550044500004, 132.72329021100006 64.48312654600005, 131.30259738300003 63.961610488000076, 130.04102723000005 64.55251997100004, 131.46833610200008 65.08550044500004))",52VER
3061,boreal_agb_202302061675665460_3061.tif,"POLYGON ((131.30259738300003 63.961610488000076, 132.51285633800012 63.36123469200004, 131.14934872800006 62.83843022100007, 129.93320622600004 63.42791279000005, 131.30259738300003 63.961610488000076))",52VER
3060,boreal_agb_202302061675665320_3060.tif,"POLYGON ((129.93320622600004 63.42791279000005, 131.14934872800006 62.83843022100007, 129.83337560400003 62.30384912800008, 128.61346538200007 62.88265172100006, 129.93320622600004 63.42791279000005))",52VER
2811,boreal_agb_202302061675673424_2811.tif,"POLYGON ((127.3543704440001 65.70367263100007, 128.72576075100005 65.13340790900003, 127.34980388000008 64.57691219700007, 125.97822684900007 65.13527915800006, 127.3543704440001 65.70367263100007))",52WDS
2891,boreal_agb_202302061675666250_2891.tif,"POLYGON ((128.72576075100005 65.13340790900003, 130.04102723000005 64.55251997100004, 128.66740751300006 64.00759120000004, 127.34980388000008 64.57691219700007, 128.72576075100005 65.13340790900003))",52WDS
2892,boreal_agb_202302061675663598_2892.tif,"POLYGON ((130.1578372990001 65.67822887200003, 131.46833610200008 65.08550044500004, 130.04102723000005 64.55251997100004, 128.72576075100005 65.13340790900003, 130.1578372990001 65.67822887200003))",52WDS
2890,boreal_agb_202302061675670228_2890.tif,"POLYGON ((127.34980388000008 64.57691219700007, 128.66740751300006 64.00759120000004, 127.34558932100003 63.45134710600007, 126.02782012400007 64.00938704300006, 127.34980388000008 64.57691219700007))",52WDS
2810,boreal_agb_202302061675669803_2810.tif,"POLYGON ((125.97822684900007 65.13527915800006, 127.34980388000008 64.57691219700007, 126.02782012400007 64.00938704300006, 124.65822965300003 64.55618304200004, 125.97822684900007 65.13527915800006))",52WDS
2974,boreal_agb_202302061675668078_2974.tif,"POLYGON ((128.66740751300006 64.00759120000004, 129.93320622600004 63.42791279000005, 128.61346538200007 62.88265172100006, 127.34558932100003 63.45134710600007, 128.66740751300006 64.00759120000004))",52WDS
2975,boreal_agb_202302061675670196_2975.tif,"POLYGON ((130.04102723000005 64.55251997100004, 131.30259738300003 63.961610488000076, 129.93320622600004 63.42791279000005, 128.66740751300006 64.00759120000004, 130.04102723000005 64.55251997100004))",52WDS
2812,boreal_agb_202302061675675221_2812.tif,"POLYGON ((128.78908913600003 66.26070883300008, 130.1578372990001 65.67822887200003, 128.72576075100005 65.13340790900003, 127.3543704440001 65.70367263100007, 128.78908913600003 66.26070883300008))",52WDT
2811,boreal_agb_202302061675673424_2811.tif,"POLYGON ((127.3543704440001 65.70367263100007, 128.72576075100005 65.13340790900003, 127.34980388000008 64.57691219700007, 125.97822684900007 65.13527915800006, 127.3543704440001 65.70367263100007))",52WDT
2891,boreal_agb_202302061675666250_2891.tif,"POLYGON ((128.72576075100005 65.13340790900003, 130.04102723000005 64.55251997100004, 128.66740751300006 64.00759120000004, 127.34980388000008 64.57691219700007, 128.72576075100005 65.13340790900003))",52WDT
2731,boreal_agb_202302061675666258_2731.tif,"POLYGON ((125.92440469300004 66.26266304900008, 127.3543704440001 65.70367263100007, 125.97822684900007 65.13527915800006, 124.55050694700003 65.68204971200004, 125.92440469300004 66.26266304900008))",52WDT
2732,boreal_agb_202302061675666108_2732.tif,"POLYGON ((127.35933503500007 66.83228432800007, 128.78908913600003 66.26070883300008, 127.3543704440001 65.70367263100007, 125.92440469300004 66.26266304900008, 127.35933503500007 66.83228432800007))",52WDT
2892,boreal_agb_202302061675663598_2892.tif,"POLYGON ((130.1578372990001 65.67822887200003, 131.46833610200008 65.08550044500004, 130.04102723000005 64.55251997100004, 128.72576075100005 65.13340790900003, 130.1578372990001 65.67822887200003))",52WDT
2812,boreal_agb_202302061675675221_2812.tif,"POLYGON ((128.78908913600003 66.26070883300008, 130.1578372990001 65.67822887200003, 128.72576075100005 65.13340790900003, 127.3543704440001 65.70367263100007, 128.78908913600003 66.26070883300008))",52WDU
2813,boreal_agb_202302061675667372_2813.tif,"POLYGON ((130.28480865500012 66.80568093800008, 131.64815441100006 66.21068197700004, 130.1578372990001 65.67822887200003, 128.78908913600003 66.26070883300008, 130.28480865500012 66.80568093800008))",52WDU
2731,boreal_agb_202302061675666258_2731.tif,"POLYGON ((125.92440469300004 66.26266304900008, 127.3543704440001 65.70367263100007, 125.97822684900007 65.13527915800006, 124.55050694700003 65.68204971200004, 125.92440469300004 66.26266304900008))",52WDU
2732,boreal_agb_202302061675666108_2732.tif,"POLYGON ((127.35933503500007 66.83228432800007, 128.78908913600003 66.26070883300008, 127.3543704440001 65.70367263100007, 125.92440469300004 66.26266304900008, 127.35933503500007 66.83228432800007))",52WDU
2733,boreal_agb_202302061675663351_2733.tif,"POLYGON ((128.85805713900004 67.39019672700005, 130.28480865500012 66.80568093800008, 128.78908913600003 66.26070883300008, 127.35933503500007 66.83228432800007, 128.85805713900004 67.39019672700005))",52WDU
2654,boreal_agb_202302061675663541_2654.tif,"POLYGON ((125.86578874300005 67.39224267500003, 127.35933503500007 66.83228432800007, 125.92440469300004 66.26266304900008, 124.43341069300004 66.80967574700003, 125.86578874300005 67.39224267500003))",52WDU
2732,boreal_agb_202302061675666108_2732.tif,"POLYGON ((127.35933503500007 66.83228432800007, 128.78908913600003 66.26070883300008, 127.3543704440001 65.70367263100007, 125.92440469300004 66.26266304900008, 127.35933503500007 66.83228432800007))",52WDV
